clasificación de los rines por tipos según la distancia entre pernos entre marcas y modelos,,,,,,, PCD = Distancia del perno al centro
,MARCA,MODELO,PCD,AÑO,,,
,HIUNDAY,Atos,"(4x100/114,3)",1997-2001,,,
,HIUNDAY,Excel,"(4x100/114,3)",1985-1998,,,
,CHEVROLET,Alto,"(4x100/114,3)",1988-2016,,,
,CHEVROLET,Astra,"(4x100/114,3)",1990-2008,,,
,DAEWOO,Cielo,"(4x100/114,3)",1994-2002,,,
,DAEWOO,lanos,"(4x100/114,3)",2005-2009,,,
,DAEWOO,Racer,"(4x100/114,3)",1994-1997,,,
,DAEWOO,Tico,"(4x100/114,3)",1991-2001,,,
,HIUNDAY,Atos,"(4x100/114,3)",2001-2008,,,
,HIUNDAY,Eon,"(4x100/114,3)",,,,
,KIA,Sephia,"(4x100/114,3)",1995-1998,,,
,KIA,Stylus,"(4x100/114,3)",2010-2016,,,
,MAZDA,Demio,"(4x100/114,3)",1997-2008,,,
,RENAULT,Twingo,"(4x100/114,3)",1993-2016,,,
,SKODA,Felicia,"(4x100/114,3)",1994-2001,,,
,SUZUKI,Alto,"(4x100/114,3)",2002-2016,,,
,,,,,,,
TIPO 1.3.15,CHANGAN,CX 20,"(4x100/114,3)",2014-2016,,,
"6,5-7-7,5-8",LIFAN,Taxi Maxi Lifan,"(4x100/114,3)",2010-2015,,,
,LIFAN,X50,"(4x100/114,3)",2010-2015,,,
,CHEVROLET,swift,"(4x100/114,3)",1995-2006,,,
,SUZUKI,Swift,"(4x100/114,3)",1994-2003,,,
,CHERY,Fulwin,"(4x100/114,3)",2011-2016,,,
,CHEVROLET,Optra,"(4x100/114,3)",2004-2007,,,
,CHEVROLET,Vivant,"(4x100/114,3)",1998-2010,,,
,HIUNDAY,Elantra,"(4x100/114,3)",1990-2005,,,
,MITSUBISHI,Mirage,"(4x100/114,3)",1992,,,
,NISSAN,Tiida,"(4x100/114,3)",2007-2016,,,
,NISSAN,Versa ,"(4x100/114,3)",2008-2011,,,
,BYD,F3,"(4x100/114,3)",2006-2012,,,
,BYD,new F3,"(4x100/114,3)",2006-2012,,,
,CHEVROLET,Aveo ,"(4x100/114,3)",2003-2012,,,
,DAIHATSU,Sirion,"(4x100/114,3)",1998-2008,,,
,GEELY,MK taxi,"(4x100/114,3)",2010-2016,,,
,HONDA,Fit,"(4x100/114,3)",2001-2016,,,
,MINI,Mini,"(4x100/114,3)",2001-2016,,,
,MITSUBISHI,Mirage,"(4x100/114,3)",1991,,,
,MITSUBISHI,Mirage,"(4x100/114,3)",1993-2003,,,
,NISSAN,March,"(4x100/114,3)",1989-2016,,,
,NISSAN,Note,"(4x100/114,3)",2005-2016,,,
,NISSAN,Tiida,"(4x100/114,3)",2004-2006,,,
,RENAULT,Logan,"(4x100/114,3)",2004-2016,,,
,RENAULT,Sandero,"(4x100/114,3)",2007-2016,,,
,RENAULT,Scenic,"(4x100/114,3)",1998-2008,,,
,RENAULT,Stepway,"(4x100/114,3)",2008-2016,,,
,SEAT,Ibiza,"(4x100/114,3)",1993-2002,,,
,SEAT,Toledo,"(4x100/114,3)",1991-1992,,,
,SUZUKI,Ciaz,"(4x100/114,3)",2012-2016,,,
,TOYOTA,Corolla,"(4x100/114,3)",1990-2002,,,
,VOLKSWAGEN,Passat,"(4x100/114,3)",1990-1997,,,
,VOLKSWAGEN,Vento,"(4x100/114,3)",1984-1998,,,
,VOLKSWAGEN,Voyage,"(4x100/114,3)",2010-2016,,,
,CHANA,Benni,"(4x100/114,3)",2012-2015,,,
,GONOW,Cargo,"(4x100/114,3)",2013-2015,,,
,GONOW,Pass,"(4x100/114,3)",2013-2015,,,
,HAFEI,Luzun,"(4x100/114,3)",2006-2016,,,
,HIUNDAY,City taxi,"(4x100/114,3)",2013-2016,,,
,HIUNDAY,Grand pony taxi,"(4x100/114,3)",2013-2016,,,
,JAC,smile,"(4x100/114,3)",2012-2016,,,
,JAC,star taxi,"(4x100/114,3)",2012-2016,,,
,JAC,Street taxi,"(4x100/114,3)",2012-2016,,,
,JAC,Veloce,"(4x100/114,3)",2012-2016,,,
,LIFAN,Dura Truck,"(4x100/114,3)",2010-2015,,,
